Primary Purpose,Design Style,Furniture Type,Room Size,Dimension Constraints,Budget,Eco-Friendly,Storage Needs,Easy Assembly,Children or Pets,Comfort vs Practicality,Specific Requests,Recommended Furniture
Sleep,Minimalist,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Dining,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Work,Modern,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Play,Minimalist,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Sleep,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Dining,Modern,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Dining,Modern,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Work,Minimalist,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table', 'Lamp']"
Sleep,Industrial,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Lamp']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,None,"['Sofa', 'TV', 'Table']"
Dining,Modern,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,No,No,No,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Dining,Industrial,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,No,Practical,None,"['Sofa', 'Window']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'TV', 'Lamp']"
Relax,Minimalist,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Comfortable,None,"['Sofa', 'TV', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp', 'Table']"
Dining,Traditional,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,None,"['Sofa', 'Chair']"
Work,Minimalist,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Chair']"
Relax,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'TV', 'Table']"
Play,Traditional,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Work,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Play,Modern,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Practical,Stain-resistant,"['Sofa', 'Table']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Chair']"
Work,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Minimalist,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Chair']"
Work,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Stain-resistant,"['Sofa', 'Table', 'Table']"
Play,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Chair']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Dining,Rustic,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Lamp', 'Chair']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Dining,Rustic,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Work,Rustic,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Sleep,Minimalist,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Dining,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Sleep,Traditional,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Relax,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'TV']"
Work,Modern,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Work,Modern,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Easy to clean,"['Sofa', 'Table', 'Table']"
Relax,Traditional,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Table']"
Relax,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Dining,Industrial,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Work,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Lamp']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,No,Comfortable,None,"['Sofa', 'Chair']"
Play,Minimalist,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,Yes,Practical,Durable,"['Sofa', 'Table']"
Play,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'Lamp', 'Table', 'Chair']"
Play,Industrial,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Minimalist,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,No,Practical,Durable,"['Sofa', 'Lamp']"
Relax,Rustic,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp']"
Sleep,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Relax,Modern,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Window']"
Sleep,Traditional,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Lamp', 'Table']"
Relax,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Table', 'Chair']"
Play,Minimalist,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Lamp']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Chair']"
Dining,Minimalist,Ready-made,More than 20 sqm,No,More than 5000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Dining,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Rustic,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Sleep,Modern,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'Lamp']"
Play,Modern,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,Durable,"['Sofa', 'Table']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Dining,Industrial,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Relax,Industrial,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Stain-resistant,"['Sofa', 'TV', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Minimalist,Ready-made,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,No,More than 5000 SAR,No,Yes,No,Yes,Practical,Stain-resistant,"['Sofa', 'Lamp', 'Table']"
Sleep,Modern,Ready-made,Less than 10 sqm,No,Less than 1000 SAR,No,No,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Modern,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Relax,Modern,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'TV', 'Chair']"
Play,Traditional,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Work,Minimalist,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Table', 'Chair']"
Work,Industrial,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Rustic,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,Yes,Practical,Easy to clean,"['Sofa', 'Chair']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Chair']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'Window']"
Sleep,Minimalist,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Chair']"
Sleep,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,No,No,Practical,None,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,None,"['Sofa', 'Chair']"
Relax,Rustic,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Comfortable,None,"['Sofa', 'TV', 'Table', 'Chair']"
Relax,Traditional,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp']"
Play,Traditional,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,Durable,"['Sofa', 'Window']"
Work,Rustic,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,No,Practical,None,"['Sofa', 'Table', 'Lamp', 'Table']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Window']"
Play,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Traditional,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,None,"['Sofa', 'Table', 'Table']"
Dining,Traditional,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'TV']"
Relax,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'TV', 'Lamp', 'Table']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table', 'Lamp']"
Dining,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Work,Industrial,Multifunctional,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Relax,Modern,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,No,No,No,Practical,Stain-resistant,"['Sofa', 'TV', 'Lamp']"
Relax,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'TV']"
Play,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Table']"
Sleep,Modern,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Work,Rustic,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Chair']"
Work,Traditional,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Dining,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Relax,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Practical,Durable,"['Sofa', 'TV']"
Work,Minimalist,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,Yes,Yes,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Relax,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,Yes,No,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Chair']"
Work,Modern,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table', 'Lamp', 'Table']"
Play,Traditional,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,Yes,Yes,No,Yes,Practical,Easy to clean,"['Sofa', 'Table']"
Sleep,Industrial,Ready-made,More than 20 sqm,No,Less than 1000 SAR,Yes,No,No,No,Practical,Easy to clean,"['Sofa', 'Window']"
Work,Minimalist,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Easy to clean,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,Yes,Yes,Practical,None,"['Sofa', 'TV']"
Play,Traditional,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Practical,None,"['Sofa', 'Table']"
Work,Rustic,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,No,Yes,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Lamp', 'Table', 'Chair']"
Dining,Traditional,Ready-made,More than 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,None,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Comfortable,Stain-resistant,"['Sofa', 'Chair']"
Work,Industrial,Ready-made,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,No,No,No,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Industrial,Multifunctional,Less than 10 sqm,Yes,Less than 1000 SAR,No,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Dining,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,Yes,Comfortable,Durable,"['Sofa', 'Chair']"
Play,Modern,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'TV']"
Play,Modern,Multifunctional,More than 20 sqm,No,More than 5000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Lamp']"
Dining,Minimalist,Ready-made,More than 20 sqm,Yes,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Play,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Practical,None,"['Sofa', 'Lamp']"
Dining,Traditional,Multifunctional,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,Yes,Yes,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Work,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Table', 'Table']"
Dining,Modern,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Easy to clean,"['Sofa', 'Table']"
Dining,Traditional,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,No,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Lamp', 'Table', 'Chair']"
Sleep,Modern,Ready-made,Less than 10 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Comfortable,None,"['Sofa', 'Table', 'Chair']"
Dining,Minimalist,Multifunctional,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,No,Comfortable,None,"['Sofa', 'Lamp', 'Chair']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,Yes,More than 5000 SAR,Yes,No,No,Yes,Practical,Durable,"['Sofa', 'Lamp']"
Work,Minimalist,Ready-made,Less than 10 sqm,No,Between 1000 and 5000 SAR,No,Yes,No,No,Comfortable,Stain-resistant,"['Sofa', 'Table', 'Table', 'Chair']"
Sleep,Industrial,Multifunctional,Less than 10 sqm,Yes,More than 5000 SAR,Yes,No,Yes,No,Practical,Easy to clean,"['Sofa', 'Lamp']"
Relax,Industrial,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,No,No,No,No,Practical,Easy to clean,"['Sofa', 'TV']"
Work,Industrial,Ready-made,More than 20 sqm,No,Less than 1000 SAR,No,No,Yes,Yes,Comfortable,Durable,"['Sofa', 'Table', 'Chair']"
Work,Minimalist,Multifunctional,Less than 10 sqm,No,Less than 1000 SAR,No,No,No,No,Practical,Durable,"['Sofa', 'Table']"
Relax,Traditional,Multifunctional,Between 10 and 20 sqm,No,Between 1000 and 5000 SAR,Yes,No,Yes,Yes,Practical,Easy to clean,"['Sofa', 'TV']"
Dining,Rustic,Ready-made,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Chair']"
Play,Industrial,Multifunctional,More than 20 sqm,No,Between 1000 and 5000 SAR,No,No,Yes,No,Practical,None,"['Sofa', 'Table']"
Sleep,Industrial,Multifunctional,Between 10 and 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,Yes,Practical,Stain-resistant,"['Sofa', 'Table']"
Play,Industrial,Ready-made,Between 10 and 20 sqm,No,Less than 1000 SAR,Yes,Yes,Yes,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Ready-made,Less than 10 sqm,No,More than 5000 SAR,Yes,Yes,No,Yes,Comfortable,Durable,"['Sofa', 'TV', 'Lamp', 'Table', 'Chair']"
Work,Industrial,Multifunctional,Less than 10 sqm,No,More than 5000 SAR,Yes,No,No,Yes,Practical,None,"['Sofa', 'Table', 'Lamp']"
Work,Rustic,Multifunctional,More than 20 sqm,Yes,Less than 1000 SAR,No,No,No,No,Practical,None,"['Sofa', 'Table']"
Sleep,Industrial,Multifunctional,More than 20 sqm,Yes,More than 5000 SAR,Yes,Yes,No,No,Practical,Durable,"['Sofa', 'Lamp', 'Table']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,No,No,Yes,Yes,Practical,Durable,"['Sofa', 'Table']"
Work,Minimalist,Ready-made,Less than 10 sqm,Yes,More than 5000 SAR,No,No,Yes,Yes,Comfortable,None,"['Sofa', 'Table', 'Lamp', 'Chair']"
Sleep,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,Yes,Yes,Yes,No,Practical,Durable,"['Sofa', 'Table']"
Sleep,Minimalist,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,No,No,Practical,None,"['Sofa', 'Table']"
Relax,Rustic,Ready-made,More than 20 sqm,Yes,Between 1000 and 5000 SAR,No,Yes,Yes,No,Practical,Durable,"['Sofa', 'TV', 'Table']"
Work,Minimalist,Ready-made,Between 10 and 20 sqm,Yes,Less than 1000 SAR,Yes,No,Yes,Yes,Practical,None,"['Sofa', 'Table']"
Work,Minimalist,Ready-made,Less than 10 sqm,Yes,Less than 1000 SAR,No,No,No,No,Comfortable,Easy to clean,"['Sofa', 'Table', 'Chair']"
Relax,Rustic,Multifunctional,More than 20 sqm,No,More than 5000 SAR,No,No,No,Yes,Practical,Easy to clean,"['Sofa', 'TV', 'Lamp']"
